,confidence_threshold,num_neighbours,remaining_cores,patch_auroc,patch_macro_acc,patch_avg_prec,patch_brier_score,patch_expected_calibration_error,core_auroc,core_macro_acc,core_avg_prec,core_brier_score,core_expected_calibration_error
13,0.2,10.0,4.0,0.6655778884887695,0.6180670261383057,0.6468037366867065,0.2343495085464256,0.015623809769749641,0.721257209777832,0.6892060041427612,0.6253452897071838,0.22769544605168204,0.08433519303798676
14,0.3,10.0,11.0,0.6728525161743164,0.6170220375061035,0.6339796781539917,0.2302854394185244,0.03742606192827225,0.7467062473297119,0.716567873954773,0.6242297887802124,0.2235777158736303,0.13530570268630981
15,0.4,10.0,13.0,0.6781930923461914,0.6241374015808105,0.620258092880249,0.22815494190479124,0.033494189381599426,0.7303303480148315,0.6774774789810181,0.640772819519043,0.22560518076389552,0.09913361072540283
16,0.5,10.0,22.0,0.6644733548164368,0.616098165512085,0.6023812890052795,0.22972700999259027,0.024533711373806,0.7505185008049011,0.7066667079925537,0.6499249339103699,0.2235358017830244,0.13779225945472717
17,0.6,10.0,30.0,0.6665084362030029,0.6189279556274414,0.6009671688079834,0.22840597809732033,0.02477329783141613,0.7405796051025391,0.7186956405639648,0.6423250436782837,0.22340193319528326,0.156573086977005
18,0.7,10.0,45.0,0.6616964936256409,0.6131601333618164,0.5978162884712219,0.22852469928222632,0.02315668761730194,0.7394202947616577,0.7144927978515625,0.64298415184021,0.22386680394019975,0.1582176834344864
19,0.8,10.0,49.0,0.6631847023963928,0.6131766438484192,0.5992640256881714,0.22780947613100477,0.02544337883591652,0.7379709482192993,0.7102898359298706,0.6357699632644653,0.22353214197662796,0.16005289554595947
20,0.9,10.0,51.0,0.6651432514190674,0.6139134764671326,0.6006367802619934,0.22715722823886683,0.02531365491449833,0.7400000095367432,0.7036231756210327,0.6451410055160522,0.2231443298221918,0.15174061059951782
21,1.0,10.0,52.0,0.667640745639801,0.6157156825065613,0.6029646992683411,0.22653108945233835,0.026603497564792633,0.7437680959701538,0.6969565153121948,0.6437791585922241,0.22262297468537245,0.14036914706230164
22,0.0,15.0,1.0,0.6739130020141602,0.5584238767623901,0.6315469741821289,0.2407053139240135,0.14375652372837067,0.6666666269302368,0.5590909123420715,0.6726386547088623,0.24110769651769767,0.11338746547698975
